DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,Raw Data,Sensor State,GatewayID,Alert Sent,Signal Strength,Voltage
2fc44b22-d20d-40f3-98cd-bb76386562bb,226417,B787-9-L-11 Motion System,07/24/2023 23:57,1.6,"1.6 Ah |  Phase 1: Min 3, Max 3, Avg 3.72, Duty 100% | Phase 2: Min 3, Max 3, Avg 3.38, Duty 100% | Phase 3: Min 2, Max 2, Avg 2.43, Duty 100%",100,3.72|3|3|100|3.38|3|3|100|2.43|2|2|100|1.6|664,0,965435,FALSE,61,3.36
6d31c67a-d99c-439a-91d3-328c18d198fe,226417,B787-9-L-11 Motion System,07/24/2023 23:47,1.6,"1.6 Ah |  Phase 1: Min 3, Max 3, Avg 3.8, Duty 100% | Phase 2: Min 3, Max 3, Avg 3.43, Duty 100% | Phase 3: Min 2, Max 2, Avg 2.47, Duty 100%",100,3.8|3|3|100|3.43|3|3|100|2.47|2|2|100|1.6|664,0,965435,FALSE,58,3.36
20edf254-16d3-40ef-b1af-dc04b1612bd9,226417,B787-9-L-11 Motion System,07/24/2023 23:37,1.6,"1.6 Ah |  Phase 1: Min 3, Max 3, Avg 3.79, Duty 100% | Phase 2: Min 3, Max 3, Avg 3.43, Duty 100% | Phase 3: Min 2, Max 2, Avg 2.47, Duty 100%",100,3.79|3|3|100|3.43|3|3|100|2.47|2|2|100|1.6|664,0,965435,FALSE,43,3.36
f0a0ab8b-624e-4e90-9508-7dc98df46693,226417,B787-9-L-11 Motion System,07/24/2023 23:27,1.6,"1.6 Ah |  Phase 1: Min 3, Max 3, Avg 3.8, Duty 100% | Phase 2: Min 3, Max 3, Avg 3.44, Duty 100% | Phase 3: Min 2, Max 2, Avg 2.48, Duty 100%",100,3.8|3|3|100|3.44|3|3|100|2.48|2|2|100|1.6|664,0,965435,FALSE,48,3.36
b8786418-a5b1-4487-8863-4cde5170babf,226417,B787-9-L-11 Motion System,07/24/2023 23:18,1.7,"1.7 Ah |  Phase 1: Min 3, Max 3, Avg 3.77, Duty 100% | Phase 2: Min 3, Max 3, Avg 3.43, Duty 100% | Phase 3: Min 2, Max 2, Avg 2.47, Duty 100%",100,3.77|3|3|100|3.43|3|3|100|2.47|2|2|100|1.7|705.5,0,965435,FALSE,60,3.36
267db8e4-1c98-4aee-a595-5dfe418fe548,226417,B787-9-L-11 Motion System,07/24/2023 23:07,1.6,"1.6 Ah |  Phase 1: Min 3, Max 3, Avg 3.87, Duty 100% | Phase 2: Min 3, Max 3, Avg 3.49, Duty 100% | Phase 3: Min 2, Max 2, Avg 2.52, Duty 100%",100,3.87|3|3|100|3.49|3|3|100|2.52|2|2|100|1.6|664,0,965435,FALSE,64,3.36
5061222b-e3f1-4db6-939d-ea2a282ce885,226417,B787-9-L-11 Motion System,07/24/2023 22:57,1.7,"1.7 Ah |  Phase 1: Min 3, Max 3, Avg 3.86, Duty 100% | Phase 2: Min 3, Max 3, Avg 3.48, Duty 100% | Phase 3: Min 2, Max 2, Avg 2.51, Duty 100%",100,3.86|3|3|100|3.48|3|3|100|2.51|2|2|100|1.7|705.5,0,965435,FALSE,53,3.37
811a89b8-c749-444e-9cbd-3a82d734ceaa,226417,B787-9-L-11 Motion System,07/24/2023 22:47,1.6,"1.6 Ah |  Phase 1: Min 3, Max 3, Avg 3.88, Duty 100% | Phase 2: Min 3, Max 3, Avg 3.5, Duty 100% | Phase 3: Min 2, Max 2, Avg 2.54, Duty 100%",100,3.88|3|3|100|3.5|3|3|100|2.54|2|2|100|1.6|664,0,965435,FALSE,63,3.37
54ee337d-256e-4956-997c-667d1167db24,226417,B787-9-L-11 Motion System,07/24/2023 22:38,1.6,"1.6 Ah |  Phase 1: Min 3, Max 3, Avg 3.85, Duty 100% | Phase 2: Min 3, Max 3, Avg 3.47, Duty 100% | Phase 3: Min 2, Max 2, Avg 2.51, Duty 100%",100,3.85|3|3|100|3.47|3|3|100|2.51|2|2|100|1.6|664,0,965435,FALSE,58,3.37
308a7438-6611-4489-af2c-f27a9f0d5ef8,226417,B787-9-L-11 Motion System,07/24/2023 22:28,1.7,"1.7 Ah |  Phase 1: Min 3, Max 4, Avg 3.92, Duty 100% | Phase 2: Min 3, Max 3, Avg 3.53, Duty 100% | Phase 3: Min 2, Max 2, Avg 2.57, Duty 100%",100,3.92|4|3|100|3.53|3|3|100|2.57|2|2|100|1.7|705.5,0,965435,FALSE,46,3.37
