DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,Raw Data,Sensor State,GatewayID,Alert Sent,Signal Strength,Voltage
09d6728b-d946-460a-82f7-c0216586fc78,236334,B787-9-L-13 Computer Suite,07/24/2023 23:57,3.403,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.58, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.46, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.74, Duty 100%",100,18.58|18|18|100|20.46|20|20|100|9.74|9|9|100|8.2|3403,0,965435,FALSE,78,3.26
fab3df38-3561-4297-9cf2-eaafaa82662c,236334,B787-9-L-13 Computer Suite,07/24/2023 23:47,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.57, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.46, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.57|18|18|100|20.46|20|20|100|9.73|9|9|100|8.1|3361.5,0,965435,FALSE,79,3.26
afd864aa-f911-49ea-9660-5d5bb6c473e7,236334,B787-9-L-13 Computer Suite,07/24/2023 23:37,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.57, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.46, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.72, Duty 100%",100,18.57|18|18|100|20.46|20|20|100|9.72|9|9|100|8.1|3361.5,0,965435,FALSE,78,3.26
d8d2a53e-1955-430f-b302-aeade51beb30,236334,B787-9-L-13 Computer Suite,07/24/2023 23:27,3.403,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.57, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.47, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.57|18|18|100|20.47|20|20|100|9.73|9|9|100|8.2|3403,0,965435,FALSE,78,3.26
e9bad6df-174c-4950-9d6c-15844f2b51d4,236334,B787-9-L-13 Computer Suite,07/24/2023 23:17,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.57, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.47, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.74, Duty 100%",100,18.57|18|18|100|20.47|20|20|100|9.74|9|9|100|8.1|3361.5,0,965435,FALSE,78,3.26
ed42b05d-65b8-4470-967f-4cf922df4624,236334,B787-9-L-13 Computer Suite,07/24/2023 23:07,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.56, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.48, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.56|18|18|100|20.48|20|20|100|9.73|9|9|100|8.1|3361.5,0,965435,FALSE,79,3.26
2823a390-c1cd-4cbf-abce-892eb862bae8,236334,B787-9-L-13 Computer Suite,07/24/2023 22:57,3.403,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.64, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.45, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.74, Duty 100%",100,18.64|18|18|100|20.45|20|20|100|9.74|9|9|100|8.2|3403,0,965435,FALSE,79,3.26
0101653b-b5c1-4193-ab01-cd5f6badec7f,236334,B787-9-L-13 Computer Suite,07/24/2023 22:47,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.59, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.49, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.72, Duty 100%",100,18.59|18|18|100|20.49|20|20|100|9.72|9|9|100|8.1|3361.5,0,965435,FALSE,78,3.26
7a286590-d129-4406-864d-0a0d03c7c2fe,236334,B787-9-L-13 Computer Suite,07/24/2023 22:37,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.54, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.44, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.54|18|18|100|20.44|20|20|100|9.73|9|9|100|8.1|3361.5,0,965435,FALSE,76,3.26
b82ba2f1-df1e-4fa3-9946-3c87db0f8c3e,236334,B787-9-L-13 Computer Suite,07/24/2023 22:27,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.54, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.48, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.54|18|18|100|20.48|20|20|100|9.73|9|9|100|8.1|3361.5,0,965435,FALSE,72,3.26
2d1b2ec1-d201-4a6a-a50f-8ed85009c51c,236334,B787-9-L-13 Computer Suite,07/24/2023 22:17,3.403,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.55, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.46, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.55|18|18|100|20.46|20|20|100|9.73|9|9|100|8.2|3403,0,965435,FALSE,74,3.26
a5bd583a-07d6-4794-bba8-e83b5f0218b0,236334,B787-9-L-13 Computer Suite,07/24/2023 22:07,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.56, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.44, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.56|18|18|100|20.44|20|20|100|9.73|9|9|100|8.1|3361.5,0,965435,FALSE,78,3.26
09edc0dd-4f41-4e92-8514-cf09550bef5f,236334,B787-9-L-13 Computer Suite,07/24/2023 21:57,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.56, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.45, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.56|18|18|100|20.45|20|20|100|9.73|9|9|100|8.1|3361.5,0,965435,FALSE,75,3.26
8e07177f-56a6-479e-a51f-150610eff7a6,236334,B787-9-L-13 Computer Suite,07/24/2023 21:47,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.56, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.46, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.72, Duty 100%",100,18.56|18|18|100|20.46|20|20|100|9.72|9|9|100|8.1|3361.5,0,965435,FALSE,77,3.26
2dbd2909-7380-46c4-acd6-05e2217d10dd,236334,B787-9-L-13 Computer Suite,07/24/2023 21:37,3.403,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.56, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.46, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.56|18|18|100|20.46|20|20|100|9.73|9|9|100|8.2|3403,0,965435,FALSE,76,3.26
9a0bf22a-310b-4635-9af6-686a53ae25fd,236334,B787-9-L-13 Computer Suite,07/24/2023 21:27,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.54, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.47, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.54|18|18|100|20.47|20|20|100|9.73|9|9|100|8.1|3361.5,0,965435,FALSE,77,3.26
4b6ed8cc-c54e-468f-b1bf-46e52a039dce,236334,B787-9-L-13 Computer Suite,07/24/2023 21:17,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.58, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.46, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.74, Duty 100%",100,18.58|18|18|100|20.46|20|20|100|9.74|9|9|100|8.1|3361.5,0,965435,FALSE,73,3.26
19841ae2-752a-4023-b2b9-553ff9530fbf,236334,B787-9-L-13 Computer Suite,07/24/2023 21:07,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.55, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.45, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.55|18|18|100|20.45|20|20|100|9.73|9|9|100|8.1|3361.5,0,965435,FALSE,72,3.26
326535b3-58e5-45b5-b084-1c325be922ec,236334,B787-9-L-13 Computer Suite,07/24/2023 20:57,3.403,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.57, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.46, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.57|18|18|100|20.46|20|20|100|9.73|9|9|100|8.2|3403,0,965435,FALSE,76,3.26
d0697d28-9534-422d-9eed-968a8fd4690e,236334,B787-9-L-13 Computer Suite,07/24/2023 20:47,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.58, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.46, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.58|18|18|100|20.46|20|20|100|9.73|9|9|100|8.1|3361.5,0,965435,FALSE,76,3.26
912d1c9d-3b8f-4461-99b3-65d858f8481e,236334,B787-9-L-13 Computer Suite,07/24/2023 20:37,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.58, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.45, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.58|18|18|100|20.45|20|20|100|9.73|9|9|100|8.1|3361.5,0,965435,FALSE,76,3.26
be1c7b34-6850-470a-aace-5e9d8f0c5b79,236334,B787-9-L-13 Computer Suite,07/24/2023 20:27,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.56, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.46, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.74, Duty 100%",100,18.56|18|18|100|20.46|20|20|100|9.74|9|9|100|8.1|3361.5,0,965435,FALSE,78,3.26
87945143-a9f2-4a62-a711-13d802a65e19,236334,B787-9-L-13 Computer Suite,07/24/2023 20:17,3.403,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.57, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.46, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.72, Duty 100%",100,18.57|18|18|100|20.46|20|20|100|9.72|9|9|100|8.2|3403,0,965435,FALSE,80,3.26
65c52ca8-8fa5-47c2-9cd0-ad5d6da96293,236334,B787-9-L-13 Computer Suite,07/24/2023 20:07,3.3615,"3.4 kWh |  Phase 1: Min 18, Max 18, Avg 18.56, Duty 100% | Phase 2: Min 20, Max 20, Avg 20.47, Duty 100% | Phase 3: Min 9, Max 9, Avg 9.73, Duty 100%",100,18.56|18|18|100|20.47|20|20|100|9.73|9|9|100|8.1|3361.5,0,965435,FALSE,76,3.26
